mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,equipo,fecha,url
240,35,86,.407,9,33,.273,9,12,.750,8,34,42,17,4,3,15,18,88,,,MIA,20240429,https://www.basketball-reference.com/boxscores/202404290MIA.html
240,35,82,.427,12,40,.300,15,24,.625,8,36,44,18,9,7,14,18,97,,,OKC,20240429,https://www.basketball-reference.com/boxscores/202404290NOP.html
240,32,85,.376,8,34,.235,17,20,.850,12,38,50,22,10,8,19,25,89,,,NOP,20240429,https://www.basketball-reference.com/boxscores/202404290NOP.html
240,36,78,.462,9,31,.290,22,29,.759,7,36,43,17,5,7,14,17,103,,,ORL,20240430,https://www.basketball-reference.com/boxscores/202404300CLE.html
240,38,88,.432,13,37,.351,15,19,.789,8,31,39,23,9,3,10,25,104,,,CLE,20240430,https://www.basketball-reference.com/boxscores/202404300CLE.html
240,36,81,.444,12,38,.316,8,13,.615,10,26,36,25,3,3,13,18,92,,,IND,20240430,https://www.basketball-reference.com/boxscores/202404300MIL.html
240,44,84,.524,11,29,.379,16,20,.800,11,33,44,23,8,4,11,15,115,,,MIL,20240430,https://www.basketball-reference.com/boxscores/202404300MIL.html
265,42,91,.462,15,39,.385,13,19,.684,12,34,46,28,5,7,17,23,112,,,PHI,20240430,https://www.basketball-reference.com/boxscores/202404300NYK.html
265,40,86,.465,10,36,.278,16,24,.667,6,34,40,19,10,8,15,19,106,,,NYK,20240430,https://www.basketball-reference.com/boxscores/202404300NYK.html
240,36,87,.414,3,29,.103,9,10,.900,2,27,29,20,4,0,6,17,84,,,MIA,20240501,https://www.basketball-reference.com/boxscores/202405010BOS.html
240,42,77,.545,16,40,.400,18,27,.667,8,48,56,23,5,3,15,15,118,,,BOS,20240501,https://www.basketball-reference.com/boxscores/202405010BOS.html
240,47,87,.540,14,39,.359,15,20,.750,9,31,40,27,5,6,10,22,123,,,DAL,20240501,https://www.basketball-reference.com/boxscores/202405010LAC.html
240,33,87,.379,9,35,.257,18,21,.857,14,31,45,18,4,0,15,19,93,,,LAC,20240501,https://www.basketball-reference.com/boxscores/202405010LAC.html
